Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Fuel Consumption (l/km),Flight time (hrs)
2B,410,AER,2965,KZN,2990,,0,CR2,9.19,11.27
2B,410,ASF,2966,KZN,2990,,0,CR2,1.07,0.95
2B,410,ASF,2966,MRV,2962,,0,CR2,4.73,5.31
2B,410,CEK,2968,KZN,2990,,0,CR2,9.61,11.63
2B,410,CEK,2968,OVB,4078,,0,CR2,5.92,6.8
2B,410,DME,4029,KZN,2990,,0,CR2,4.47,5.37
2B,410,DME,4029,NBC,6969,,0,CR2,5.74,7.04
2B,410,DME,4029,TGK,\N,,0,CR2,5.92,7.12
2B,410,DME,4029,UUA,6160,,0,CR2,7.48,8.91
2B,410,EGO,6156,KGD,2952,,0,CR2,1.91,1.97
2B,410,EGO,6156,KZN,2990,,0,CR2,2.9,3.38
2B,410,GYD,2922,NBC,6969,,0,CR2,6.11,7.18
2B,410,KGD,2952,EGO,6156,,0,CR2,8.81,10.47
2B,410,KZN,2990,AER,2965,,0,CR2,5.94,6.96
2B,410,KZN,2990,ASF,2966,,0,CR2,2.98,3.24
2B,410,KZN,2990,CEK,2968,,0,CR2,6.88,8.32
2B,410,KZN,2990,DME,4029,,0,CR2,7.52,9.01
2B,410,KZN,2990,EGO,6156,,0,CR2,2.71,3.24
2B,410,KZN,2990,LED,2948,,0,CR2,4.12,4.84
2B,410,KZN,2990,SVX,2975,,0,CR2,5.74,6.64
2B,410,LED,2948,KZN,2990,,0,CR2,5.38,6.21
2B,410,LED,2948,NBC,6969,,0,CR2,4.46,4.98
2B,410,LED,2948,UUA,6160,,0,CR2,3.62,3.92
2B,410,MRV,2962,ASF,2966,,0,CR2,1.81,1.65
2B,410,NBC,6969,DME,4029,,0,CR2,1.06,1.12
2B,410,NBC,6969,GYD,2922,,0,CR2,9.36,11.52
2B,410,NBC,6969,LED,2948,,0,CR2,8.64,10.24
2B,410,NBC,6969,SVX,2975,,0,CR2,3.92,4.58
2B,410,NJC,2972,SVX,2975,,0,CR2,9.44,11.5
2B,410,NJC,2972,UUA,6160,,0,CR2,6.94,8.28
2B,410,NUX,4364,SVX,2975,,0,CR2,5.12,6.05
2B,410,OVB,4078,CEK,2968,,0,CR2,5.13,6.17
2B,410,OVB,4078,SVX,2975,,0,CR2,1.61,1.46
2B,410,SVX,2975,KZN,2990,,0,CR2,1.7,1.55
2B,410,SVX,2975,NBC,6969,,0,CR2,6.34,7.43
2B,410,SVX,2975,NJC,2972,,0,CR2,5.62,6.87
